Key,English,Arabic
ETC_INC_000000,Vagrant,متشرد
ETC_INC_000001,Mercenary,صياد
ETC_INC_000002,Acrobat,بهلوان
ETC_INC_000003,Assist,مسعف
ETC_INC_000004,Magician,ساحر
ETC_INC_000005,Puppeteer,محرك الدمى
ETC_INC_000006,Knight,فارس
ETC_INC_000007,Blade,سفاح
ETC_INC_000008,Jester,مهرج
ETC_INC_000009,Ranger,قناص
ETC_INC_000010,Ringmaster,حكيم
ETC_INC_000011,Billposter,ملاكم
ETC_INC_000012,Psykeeper,مشعوذ
ETC_INC_000013,Elementor,ساحر العناصر
ETC_INC_000014,Gatekeeper,حارس البوابة
ETC_INC_000015,Doppler,دوبلر
ETC_INC_SPECIALIST_000016,Templar,Templar
ETC_INC_SPECIALIST_000017,Slayer,Slayer
ETC_INC_SPECIALIST_000018,Harlequin,Harlequin
ETC_INC_SPECIALIST_000019,Crackshooter,Crackshooter
ETC_INC_SPECIALIST_000020,Seraph,Seraph
ETC_INC_SPECIALIST_000021,Forcemaster,Forcemaster
ETC_INC_SPECIALIST_000022,Mentalist,Mentalist
ETC_INC_SPECIALIST_000023,Arcanist,Arcanist
ETC_INC_SPECIALIST_000024,Summoner,Summoner
ETC_INC_SPECIALIST_000025,Trapmaster,Trapmaster
