Key,English,Dutch
TEXTEMOTION_TXT_000000,Laugh,Lachen
TEXTEMOTION_TXT_000001,Sad,Verdrietig
TEXTEMOTION_TXT_000002,Kiss,Kus
TEXTEMOTION_TXT_000003,Surprise,Verrast
TEXTEMOTION_TXT_000004,Blush,Blozen
TEXTEMOTION_TXT_000005,Anger,Woede
TEXTEMOTION_TXT_000006,Sigh,Zucht
TEXTEMOTION_TXT_000007,Wink,Knipoog
TEXTEMOTION_TXT_000008,Ache,Pijn
TEXTEMOTION_TXT_000009,Hunger,Hongerig
TEXTEMOTION_TXT_000010,Yummy,Lekker
TEXTEMOTION_TXT_000011,Sneer,Grijns
TEXTEMOTION_TXT_000012,Sparkle,Opgewonden
TEXTEMOTION_TXT_000013,Ridicule,Belachelijk maken
TEXTEMOTION_TXT_000014,Sleepy,Slaperig
TEXTEMOTION_TXT_000015,Rich,Rijk
TEXTEMOTION_TXT_000016,Glare,Aanstaren
TEXTEMOTION_TXT_000017,Sweat,Zweet
TEXTEMOTION_TXT_000018,Cat face,Kattengezicht
TEXTEMOTION_TXT_000019,Tongue,Tong Uitsteken
TEXTEMOTION_TXT_000020,Mad,Boos
TEXTEMOTION_TXT_000021,Aha,Aha
TEXTEMOTION_TXT_000022,Embarrassed,Verlegen
TEXTEMOTION_TXT_000023,Help,Help
TEXTEMOTION_TXT_000024,Crazy,Gek
TEXTEMOTION_TXT_000025,Oh!,Oh!
TEXTEMOTION_TXT_000026,Confused,Verward
TEXTEMOTION_TXT_000027,Ouch,Auw
TEXTEMOTION_TXT_000028,Love,Liefde
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Gebroken Hart 
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
