Key,English,Dutch
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Station
ETC_INC_000020,Weapon,Wapen
ETC_INC_000021,Armor,Harnas
ETC_INC_000022,Food,Voedsel
ETC_INC_000023,Magic,Magie
ETC_INC_000024,General,Algemeen
ETC_INC_000025,Public Office,Openbaar Kantoor
ETC_INC_000026,Quest Office,Quest Kantoor
ETC_INC_000027,Shield,Schild
ETC_INC_000028,Warpzone,Warpzone
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
