Key,English
CS_LIMITED_OFFER,Limited Offer
CS_NEW_COSTUME,New Costume
CS_NEW_PICKUP_PET,New Pickup Pet
CS_FASHION,Fashion
CS_FASHION_SETS,Fashion Sets
CS_FASHION_PIECES,Fashion Pieces
CS_CLOAKS,Cloaks
CS_MASKS_GLASSES_HAIR,Masks & Glasses & Hair
CS_PICKUP_PETS,Pickup Pets
CS_FLYING,Flying
CS_CONSUMABLES,Consumables
CS_RECOVERY,Recovery
CS_SCROLL,Scroll
CS_BUFF,Buff
CS_BLINKWING,Blink Wing
CS_TRANS,Trans
CS_MATERIAL,Material
CS_PROTECTION,Protection
CS_AWAKES,Awakes
CS_UPGRADE,Upgrade
CS_RANDOM,Random
CS_STONE,Stone
CS_VENDOR_SHOP,Vendor Shop
CS_FLASK_POTION,Flask & Potion
CS_MISC,Misc
CS_EFFECT,Effect
CS_PENYA,Penya
CS_DISCOUNT,Discount
CS_SPECIAL_PACKAGE,Special Package
CS_BLACK_FRIDAY,Black Friday
CS_REBORN_SALES,Reborn Sales
CS_FWC,FWC
CS_HOUSING,Housing
CS_EVENT,Event
CS_WORLD_TEMPLATE,World Template
CS_WORLD_THEME_PACK,Theme Pack
CS_WORLD_BUNDLE_PACK,Bundle Pack
CS_WORLD_SINGLE_PACK,Single Pack
CS_NPC,NPC
CS_COUPLE,Couple
