Key,English
TEXTEMOTION_TXT_000000,Laugh
TEXTEMOTION_TXT_000001,Sad
TEXTEMOTION_TXT_000002,Kiss
TEXTEMOTION_TXT_000003,Surprise
TEXTEMOTION_TXT_000004,Blush
TEXTEMOTION_TXT_000005,Anger
TEXTEMOTION_TXT_000006,Sigh
TEXTEMOTION_TXT_000007,Wink
TEXTEMOTION_TXT_000008,Ache
TEXTEMOTION_TXT_000009,Hunger
TEXTEMOTION_TXT_000010,Yummy
TEXTEMOTION_TXT_000011,Sneer
TEXTEMOTION_TXT_000012,Sparkle
TEXTEMOTION_TXT_000013,Ridicule
TEXTEMOTION_TXT_000014,Sleepy
TEXTEMOTION_TXT_000015,Rich
TEXTEMOTION_TXT_000016,Glare
TEXTEMOTION_TXT_000017,Sweat
TEXTEMOTION_TXT_000018,Cat face
TEXTEMOTION_TXT_000019,Tongue
TEXTEMOTION_TXT_000020,Mad
TEXTEMOTION_TXT_000021,Aha
TEXTEMOTION_TXT_000022,Embarrassed
TEXTEMOTION_TXT_000023,Help
TEXTEMOTION_TXT_000024,Crazy
TEXTEMOTION_TXT_000025,Oh!
TEXTEMOTION_TXT_000026,Confused
TEXTEMOTION_TXT_000027,Ouch
TEXTEMOTION_TXT_000028,Love
TEXTEMOTION_TXT_100000,Risitas
TEXTEMOTION_TXT_100001,Broken Heart
TEXTEMOTION_TXT_100002,Sadge
TEXTEMOTION_TXT_100003,Copium
TEXTEMOTION_TXT_100004,Susge
TEXTEMOTION_TXT_100005,Sheesh
TEXTEMOTION_TXT_100006,Acktually
