Key,English
UI_EVENT_EXPBOOST,Exp Boost!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!
UI_EVENT_NIGHTBOOST,Night Boost!
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over..."
UI_EVENT_EASTER,Easter Event
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!
UI_EVENT_SPRING,Spring Event!
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!
UI_EVENT_ANNIVERSARY,1 Year Anniversary!
UI_EVENT_ANNIVERSARY_DESC,FlyFF Universe is turning 1! A huge thank you to all of our players who made this milestone possible!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1 Year Anniversary Attendance
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Login each day for 40 minutes and receive rewards!
UI_EVENT_FWC,Flyff World Championship
UI_EVENT_FWC_LEVELREACH,FWC Level Reach
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!
UI_EVENT_FWC_DESC,"The #bFlyff World Championship#nb is a global competition held until September 7th, 2023. Join this server with boosted Exp and Drops and attempt to win exceptional prizes!"
UI_EVENT_MOCOMOCHI,Mocomochi!
UI_EVENT_UPGRADING,Upgrading!
UI_EVENT_LUCKYCAPSULE,Lucky Draw!
UI_EVENT_LUCKYCAPSULE_DESC,Earn coins by defeating monsters or completing quests for the Gacha Machine NPC and receive exceptional rewards!
UI_EVENT_DROPBOOST,Drop Boost!
UI_EVENT_SUITPIERCING,Suit Piercing!
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them to NPC Bach
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!
UI_EVENT_SECRETBOOST,Secret boost!
UI_EVENT_RESCUE,Rescue Private Leo!
UI_EVENT_STONERAIN,Stone Rain!
