Key,English
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.
