Key,English
ETC_INC_000000,Vagrant
ETC_INC_000001,Mercenary
ETC_INC_000002,Acrobat
ETC_INC_000003,Assist
ETC_INC_000004,Magician
ETC_INC_000005,Puppeteer
ETC_INC_000006,Knight
ETC_INC_000007,Blade
ETC_INC_000008,Jester
ETC_INC_000009,Ranger
ETC_INC_000010,Ringmaster
ETC_INC_000011,Billposter
ETC_INC_000012,Psykeeper
ETC_INC_000013,Elementor
ETC_INC_000014,Gatekeeper
ETC_INC_000015,Doppler
ETC_INC_SPECIALIST_000016,Templar
ETC_INC_SPECIALIST_000017,Slayer
ETC_INC_SPECIALIST_000018,Harlequin
ETC_INC_SPECIALIST_000019,Crackshooter
ETC_INC_SPECIALIST_000020,Seraph
ETC_INC_SPECIALIST_000021,Forcemaster
ETC_INC_SPECIALIST_000022,Mentalist
ETC_INC_SPECIALIST_000023,Arcanist
ETC_INC_SPECIALIST_000024,Summoner
ETC_INC_SPECIALIST_000025,Trapmaster
