Key,English,Filipino
PROPKARMA_TXT_000000,Glorious,Glorious
PROPKARMA_TXT_000002,Illustrious,Tanyag
PROPKARMA_TXT_000004,Famed,Sikat
PROPKARMA_TXT_000006,Admired,Hinangaan
PROPKARMA_TXT_000008,Proper,Maayos
PROPKARMA_TXT_000010,Kind,Mabait
PROPKARMA_TXT_000012,Neutral,Neutral
PROPKARMA_TXT_000014,Rude,Masungit
PROPKARMA_TXT_000016,Unsavory,Masama
PROPKARMA_TXT_000018,Scoundrel,Tampalasan
PROPKARMA_TXT_000020,Cold Hearted,Walang Puso
PROPKARMA_TXT_000022,Brutal,Brutal
PROPKARMA_TXT_000024,Vicious,Mapanira
