Key,English,Finnish
PROPKARMA_TXT_000000,Glorious,Mahtava
PROPKARMA_TXT_000002,Illustrious,Arvostettu
PROPKARMA_TXT_000004,Famed,Nimekäs
PROPKARMA_TXT_000006,Admired,Ihailtu
PROPKARMA_TXT_000008,Proper,Kunnollinen
PROPKARMA_TXT_000010,Kind,Kiltti
PROPKARMA_TXT_000012,Neutral,Neutraali
PROPKARMA_TXT_000014,Rude,Töykeä
PROPKARMA_TXT_000016,Unsavory,Pahanmakuinen
PROPKARMA_TXT_000018,Scoundrel,Roisto
PROPKARMA_TXT_000020,Cold Hearted,Kylmäsydämminen
PROPKARMA_TXT_000022,Brutal,Raaka
PROPKARMA_TXT_000024,Vicious,Vicious
