Key,English,Finnish
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Lodelight
ETC_INC_000020,Weapon,Ase
ETC_INC_000021,Armor,Haarniska
ETC_INC_000022,Food,Ruoka
ETC_INC_000023,Magic,Taikuus
ETC_INC_000024,General,Yleinen
ETC_INC_000025,Public Office,Neuvonta Toimisto
ETC_INC_000026,Quest Office,Tehtävä Toimisto
ETC_INC_000027,Shield,Kilpi
ETC_INC_000028,Warpzone,Warpzone
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
