Key,English,French
CS_LIMITED_OFFER,Limited Offer,Offre limitée
CS_NEW_COSTUME,New Costume,Nouveau Costume
CS_NEW_PICKUP_PET,New Pickup Pet,Nouveau Bébé Ramasseur
CS_FASHION,Fashion,Tenues
CS_FASHION_SETS,Fashion Sets,Ensembles
CS_FASHION_PIECES,Fashion Pieces,Parties d'ensembles
CS_CLOAKS,Cloaks,Capes
CS_MASKS_GLASSES_HAIR,Masks & Glasses & Hair,"Masques, lunettes, cheveux"
CS_PICKUP_PETS,Pickup Pets,Bébés Ramasseurs
CS_FLYING,Flying,Vol
CS_CONSUMABLES,Consumables,Consommables
CS_RECOVERY,Recovery,Régénération
CS_SCROLL,Scroll,Parchemin
CS_BUFF,Buff,Buff
CS_BLINKWING,Blink Wing,Élytre
CS_TRANS,Trans,Morph
CS_MATERIAL,Material,Matériel
CS_PROTECTION,Protection,Protection
CS_AWAKES,Awakes,Éveils
CS_UPGRADE,Upgrade,Amélioration
CS_RANDOM,Random,Aléatoire
CS_STONE,Stone,Pierre
CS_VENDOR_SHOP,Vendor Shop,Boutique gérée
CS_FLASK_POTION,Flask & Potion,Flasques & Potions
CS_MISC,Misc,Divers
CS_EFFECT,Effect,Effet
CS_PENYA,Penya,Penya
CS_DISCOUNT,Discount,Promo
CS_SPECIAL_PACKAGE,Special Package,Offre Spéciale
CS_BLACK_FRIDAY,Black Friday,Black Friday
CS_REBORN_SALES,Reborn Sales,Soldes Reborn
CS_FWC,FWC,FWC
CS_HOUSING,Housing,Maison
CS_EVENT,Event,Évènement
CS_WORLD_TEMPLATE,World Template,Modèle de Monde
CS_WORLD_THEME_PACK,Theme Pack,Pack à thème
CS_WORLD_BUNDLE_PACK,Bundle Pack,Pack Multiple
CS_WORLD_SINGLE_PACK,Single Pack,Pack Unitaire
CS_NPC,NPC,PNJ
CS_COUPLE,Couple,Couple
