Key,English,French
ETC_INC_000000,Vagrant,Vagabond
ETC_INC_000001,Mercenary,Mercenaire
ETC_INC_000002,Acrobat,Acrobate
ETC_INC_000003,Assist,Acolyte
ETC_INC_000004,Magician,Magicien
ETC_INC_000005,Puppeteer,Marionnettiste
ETC_INC_000006,Knight,Chevalier
ETC_INC_000007,Blade,Assassin
ETC_INC_000008,Jester,Jester
ETC_INC_000009,Ranger,Ranger
ETC_INC_000010,Ringmaster,Prêtre
ETC_INC_000011,Billposter,Moine
ETC_INC_000012,Psykeeper,Sorcier
ETC_INC_000013,Elementor,Élémentaliste
ETC_INC_000014,Gatekeeper,Gatekeeper
ETC_INC_000015,Doppler,Invocateur
ETC_INC_SPECIALIST_000016,Templar,Templar
ETC_INC_SPECIALIST_000017,Slayer,Slayer
ETC_INC_SPECIALIST_000018,Harlequin,Harlequin
ETC_INC_SPECIALIST_000019,Crackshooter,Crackshooter
ETC_INC_SPECIALIST_000020,Seraph,Seraph
ETC_INC_SPECIALIST_000021,Forcemaster,Forcemaster
ETC_INC_SPECIALIST_000022,Mentalist,Mentalist
ETC_INC_SPECIALIST_000023,Arcanist,Arcanist
ETC_INC_SPECIALIST_000024,Summoner,Summoner
ETC_INC_SPECIALIST_000025,Trapmaster,Trapmaster
