Key,English,French
PROPKARMA_TXT_000000,Glorious,Révéré
PROPKARMA_TXT_000002,Illustrious,Illustre
PROPKARMA_TXT_000004,Famed,Célèbre
PROPKARMA_TXT_000006,Admired,Renommé
PROPKARMA_TXT_000008,Proper,Populaire
PROPKARMA_TXT_000010,Kind,Amical
PROPKARMA_TXT_000012,Neutral,Neutre
PROPKARMA_TXT_000014,Rude,Hostile
PROPKARMA_TXT_000016,Unsavory,Crapuleux
PROPKARMA_TXT_000018,Scoundrel,Hors-la-loi
PROPKARMA_TXT_000020,Cold Hearted,Meurtrier
PROPKARMA_TXT_000022,Brutal,Impitoyable
PROPKARMA_TXT_000024,Vicious,Démoniaque
