Key,English,French
PROPITEMETC_INC_000083,of STR,de FOR
PROPITEMETC_INC_000084,of DEX,de DEX
PROPITEMETC_INC_000085,of INT,de INT
PROPITEMETC_INC_000086,of STA,de END
PROPITEMETC_INC_000087,of STR and STA,de FOR et END
PROPITEMETC_INC_000088,of STR and DEX,de FOR et DEX
PROPITEMETC_INC_000089,DEX and STA+,DEX et END +
PROPITEMETC_INC_000090,INT and STA+,INT et END +
PROPITEMETC_INC_000091,STR+,FOR +
PROPITEMETC_INC_000092,DEX+,DEX +
PROPITEMETC_INC_000093,INT+,INT +
PROPITEMETC_INC_000094,STA+,END +
PROPITEMETC_INC_000095,STR and STA+,FOR et END +
PROPITEMETC_INC_000096,STR and STA+,FOR et END +
PROPITEMETC_INC_000097,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000098,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000099,DEX and STA+,DEX et END +
PROPITEMETC_INC_000100,DEX and STA+,DEX et END +
PROPITEMETC_INC_000101,INT and STA+,INT et END +
PROPITEMETC_INC_000102,INT and STA+,INT et END +
PROPITEMETC_INC_000103,STR+,FOR +
PROPITEMETC_INC_000104,DEX+,DEX +
PROPITEMETC_INC_000105,INT+,INT +
PROPITEMETC_INC_000106,STA+,END +
PROPITEMETC_INC_000107,STR and STA+,FOR et END +
PROPITEMETC_INC_000108,STR and STA+,FOR et END +
PROPITEMETC_INC_000109,STR and STA+,FOR et END +
PROPITEMETC_INC_000110,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000111,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000112,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000113,DEX and STA+,DEX et END +
PROPITEMETC_INC_000114,DEX and STA+,DEX et END +
PROPITEMETC_INC_000115,DEX and STA+,DEX et END +
PROPITEMETC_INC_000116,INT and STA+,INT et END +
PROPITEMETC_INC_000117,INT and STA+,INT et END +
PROPITEMETC_INC_000118,INT and STA+,INT et END +
PROPITEMETC_INC_000119,STR+,FOR +
PROPITEMETC_INC_000120,DEX+,DEX +
PROPITEMETC_INC_000121,INT+,INT +
PROPITEMETC_INC_000122,STA+,END +
PROPITEMETC_INC_000123,STR and STA+,FOR et END +
PROPITEMETC_INC_000124,STR and STA+,FOR et END +
PROPITEMETC_INC_000125,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000126,STR and DEX+,FOR et DEX +
PROPITEMETC_INC_000127,DEX and STA+,DEX et END +
PROPITEMETC_INC_000128,DEX and STA+,DEX et END +
PROPITEMETC_INC_000129,INT and STA+,INT et END +
PROPITEMETC_INC_000130,INT and STA+,INT et END +
