Key,English,French
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,Frappe pure
PROPSKILL_TXT_000001,"A powerful, downward strike.",Inflige une frappe puissante à l'ennemi.
PROPSKILL_TXT_000002,Flurry,Volée de coups
PROPSKILL_TXT_000003,"Rapid, stabbing attack.",Frappe l'ennemi à de multiples reprises.
PROPSKILL_TXT_000004,Over Cutter,Coup de grâce
PROPSKILL_TXT_000005,"Powerful, upward, finishing move.",Concentre toute l'énergie nécessaire pour infliger un coup final surpuissant.
PROPSKILL_TXT_000006,Slash,Fulgurance
PROPSKILL_TXT_000007,"Strikes the enemy two times, in rapid succession.","Charge la force pendant un court instant, puis frappe l'ennemi à deux reprises.."
PROPSKILL_TXT_000008,Keenwheel,Frénésie
PROPSKILL_TXT_000009,A continuous spinning attack.,Attaque circulaire qui frappe l'ennemi à trois reprises.
PROPSKILL_TXT_000010,Blindside,Coup bas
PROPSKILL_TXT_000011,"A spinning, finishing move.",Inflige un coup terrible sur le point faible de l'ennemi.
PROPSKILL_TXT_000012,Protection,Protection
PROPSKILL_TXT_000013,Increases the defense of a Shield against melee attacks & significantly increases Ranged Block.,Utilise un bouclier pour augmenter la défense au corps-à-corps et à distance.
PROPSKILL_TXT_000014,Pan Barrier,Vigilance
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,Utilise un bouclier pour augmenter le taux de blocage contre les attaques à distance.
PROPSKILL_TXT_000016,Blazing Sword,Flamberge
PROPSKILL_TXT_000017,Increases Accuracy and increases power of the Sword.,Augmente la puissance d'attaque et la précision lors d'un combat à l'épée.
PROPSKILL_TXT_000018,Smite Axe,Tomahawk
PROPSKILL_TXT_000019,Increases Accuracy and increases power of the Axe.,Augmente la puissance d'attaque et la défense lors d'un combat à la hache.
PROPSKILL_TXT_000020,Empower weapon,Arme enchantée
PROPSKILL_TXT_000021,Uses the element of a weapon to boost your attack power.,Augmente les dégâts produits par l'enchantement élémentaire de l'arme équipée.
PROPSKILL_TXT_000022,Bloody Strike,Soif de sang
PROPSKILL_TXT_000024,Sword Mastery,Maître des épées
PROPSKILL_TXT_000025,Increases the striking power of a Sword.,Augmente grandement la puissance d'attaque lors d'un combat à l'épée.
PROPSKILL_TXT_000026,Axe Mastery,Maître des haches
PROPSKILL_TXT_000027,Increases the striking power of an axe.,Augmente grandement la puissance d'attaque lors d'un combat à la hache.
PROPSKILL_TXT_000028,Special Hit,Charge
PROPSKILL_TXT_000029,"A single, powerful strike that attacks all enemies around you.",Un coup puissant qui frappe tous les ennemis autour du Mercenaire.
PROPSKILL_TXT_000030,Guillotine,Guillotine
PROPSKILL_TXT_000031,"A powerful, ranged attack.",Frappe un ennemi à distance en lui envoyant une vague d'énergie.
PROPSKILL_TXT_000032,Sneaker,Piège
PROPSKILL_TXT_000033,Stops an enemy.,Immobilise la cible pendant plusieurs secondes.
PROPSKILL_TXT_000034,Reflex Hit,Vengeance
PROPSKILL_TXT_000035,This skill absorbs one attack and releases back at an enemy.,Cette compétence absorbe une attaque et la renvoie à l'ennemi.
PROPSKILL_TXT_000036,Guard,Sentinelle
PROPSKILL_TXT_000037,Decreases all incoming damage from enemies by sacrificing attack power. Requires a weapon to be equipped.,Augmente la défense au détriment de l'attaque du Chevalier. Requiert une arme équipée.
PROPSKILL_TXT_000038,Pain Reflection,Retour de douleur
PROPSKILL_TXT_000039,Reflects a part of the damage received by an enemy.,Une partie des dégâts reçus par le Chevalier est également infligé à l'ennemi.
PROPSKILL_TXT_000040,Rage,Rage
PROPSKILL_TXT_000041,Increases striking power. Become more vulnerable to all incoming attacks.,Augmente l'attaque au détriment de la défense du Chevalier.
PROPSKILL_TXT_000042,Power Swing,Ravage
PROPSKILL_TXT_000043,To strike a blow at the enemy by flourishing a weapon. Requires a two-handed weapon.,Frappe circulaire destructrice qui inflige de lourds dommages et repousse tous les ennemis à proximité.
PROPSKILL_TXT_000044,Earth Divider,Séparateur de terre
PROPSKILL_TXT_000045,"Powerful, downward strike. Has a chance to reduce Incoming Healing on target. Requires a two-handed weapon.",Coup d'épée surpuissant qui a une chance de réduire l'effet des soins prodigués à la cible. Requiert une arme à deux mains.
PROPSKILL_TXT_000046,Charge,Justice
PROPSKILL_TXT_000047,"Powerful, upward strike. Stuns the enemy. Requires a two-handed weapon.",Un coup d'épée capable d'étourdir l'ennemi. Requiert une arme à deux mains.
PROPSKILL_TXT_000048,Pain Dealer,Marchand de douleur
PROPSKILL_TXT_000049,"Powerful, downward strike. Lowers the defense of the target. Requires a two-handed weapon.",Coup puissant qui réduit la défense de l'ennemi en plus d'administrer des dommages. Requiert une arme à deux mains.
PROPSKILL_TXT_000050,Power Stomp,Doloire féroce
PROPSKILL_TXT_000051,"Pounds the ground, stunning nearby enemies. Requires a two-handed weapon.",Coup surpuissant qui inflige des dégâts et peut étourdir tous les ennemis à proximité. Requiert une arme à deux mains.
PROPSKILL_TXT_000052,Cross Strike,Mutilation
PROPSKILL_TXT_000053,Powerful strike using two weapons.,Attaque meurtrière qui utilise les deux armes de l'Assassin pour infliger le maximum de dégâts.
PROPSKILL_TXT_000054,Armor Penetrate,Percée d'armure
PROPSKILL_TXT_000055,Strikes at the enemy and lowers their Block Rate.,Attaque de mêlée qui diminue le taux de blocage de l'ennemi.
PROPSKILL_TXT_000056,Silent Strike,Lacération
PROPSKILL_TXT_000057,Pounces on the enemy from afar. Stuns the target. Requires two weapons.,Frappe l'ennemi d'un coup d'épée rapide à distance et l'étourdit. Requiert deux armes.
PROPSKILL_TXT_000058,Blade Dance,Danse de lames
PROPSKILL_TXT_000059,Rapidly strikes the blades at multiple enemies. Requires two weapons.,Danse mortelle qui inflige des dégâts à tous les ennemis à proximité. Requiert deux armes.
PROPSKILL_TXT_000060,Spring Attack,Heurtoir
PROPSKILL_TXT_000061,Strikes at an enemy multiple times. Each hit has a chance to deal double damage. Requires two weapons.,Inflige plusieurs frappes puissantes à la cible. Chaque coup a une chance de voir ses dégâts doublés. Requiert deux armes.
PROPSKILL_TXT_000062,Hawk Attack,Frappe du faucon
PROPSKILL_TXT_000063,"Powerful, downward strike. Lowers targets accuracy. Requires two weapons.",Attaque sautée qui réduit la précision de la cible. Requiert deux armes.
PROPSKILL_TXT_000064,Sonic Blade,Décharge sonique
PROPSKILL_TXT_000065,"Powerful, slashing attack. Attacks all enemies around. Requires two weapons.",Concentre l'énergie de l'Assassin pour délivrer un coup dévastateur aux ennemis situés autour lui. Requiert deux armes.
PROPSKILL_TXT_000066,Berserk,Furie
PROPSKILL_TXT_000067,"Increases attack speed and striking power, and reduces skill damage.","Accroît considérablement la vitesse et la puissance d'attaque de l'Assassin, mais réduit de moitié les dégâts des autres compétences durant cet état de fureur."
PROPSKILL_TXT_000068,Heal,Soins
PROPSKILL_TXT_000069,Recover the HP of a target.,Soigne la cible en lui rendant des PV.
PROPSKILL_TXT_000070,Temping Hole,Frappe martiale
PROPSKILL_TXT_000071,"Powerful, straight punch.",Frappe l'ennemi d'un coup de poing puissant.
PROPSKILL_TXT_000072,Resurrection,Résurrection
PROPSKILL_TXT_000073,Resurrects a dead player.,Ressuscite la cible d'entre les morts et la régénère d'une partie de ses PV.
PROPSKILL_TXT_000074,Patience,Patience
PROPSKILL_TXT_000075,Increases maximum HP of the target.,Augmente temporairement le total des PV de la cible.
PROPSKILL_TXT_000076,Prevention,Second souffle
PROPSKILL_TXT_000077,Recovers your own HP when it reaches below a certain point.,Vous bénit afin de régénérer automatiquement vos PV à l'approche de la mort.
PROPSKILL_TXT_000078,Heap Up,Métabolisme
PROPSKILL_TXT_000079,Increases STA of the target.,Augmente l'endurance de la cible.
PROPSKILL_TXT_000080,Cannon Ball,Boulet de canon
PROPSKILL_TXT_000081,Increases DEX of the target.,Augmente la dextérité de la cible.
PROPSKILL_TXT_000082,Circle Healing,Cercle curatif
PROPSKILL_TXT_000083,Heals party members close to you.,Soigne les membres du groupe situés à proximité.
PROPSKILL_TXT_000084,Mental Sign,Acuité
PROPSKILL_TXT_000085,Increases INT of a target,Augmente l'intelligence de la cible.
PROPSKILL_TXT_000086,Beef Up,Adrénaline
PROPSKILL_TXT_000087,Increases striking power of a target.,Augmente la force de la cible.
PROPSKILL_TXT_000088,Burst Crack,Choc de terre
PROPSKILL_TXT_000089,Pounds the ground and damages enemies around you.,Frappe puissamment le sol pour infliger des dégâts à tous les ennemis dans la zone d'impact.
PROPSKILL_TXT_000090,Stonehand,Main de pierre
PROPSKILL_TXT_000091,All attacks gain the chance to stun.,Augmente la probabilité que les prochaines attaques étourdissent les ennemis.
PROPSKILL_TXT_000092,Quick Step,Pas léger
PROPSKILL_TXT_000093,Increases the walk speed of a target.,Augmente la vitesse de déplacement de la cible.
PROPSKILL_TXT_000094,Cat's Reflex,Félinité
PROPSKILL_TXT_000095,Increases the block rate of a target.,Augmente le taux de blocage de la cible.
PROPSKILL_TXT_000096,Accuracy,Précision
PROPSKILL_TXT_000097,Increases the accuracy of a target.,Augmente les chances de toucher.
PROPSKILL_TXT_000098,Power Fist,Paume d'acier
PROPSKILL_TXT_000099,Three concentrated power strikes.,Inflige trois violent coups de poing à l'ennemi.
PROPSKILL_TXT_000100,Haste,Vivacité
PROPSKILL_TXT_000101,Increases attack speed and decreases casting time of a target.,Augmente la vitesse d'attaque et d'incantation de la cible.
PROPSKILL_TXT_000102,Heal Rain,Intervention divine
PROPSKILL_TXT_000103,Recovers HP for party members near you.,Puissante prière qui restitue un grand nombre de PV à tous les membres du groupe à proximité du Prêtre.
PROPSKILL_TXT_000104,Holycross,Croix du templier
PROPSKILL_TXT_000105,Target enemy takes double damage in the next attack.,Double les dégâts infligés par le prochain coup porté à la cible.
PROPSKILL_TXT_000106,Protect,Fortification
