Key,English,German
PROPKARMA_TXT_000000,Glorious,Glorreich
PROPKARMA_TXT_000002,Illustrious,Erhaben
PROPKARMA_TXT_000004,Famed,Berühmt
PROPKARMA_TXT_000006,Admired,Beneidenswert
PROPKARMA_TXT_000008,Proper,Gut
PROPKARMA_TXT_000010,Kind,Nett
PROPKARMA_TXT_000012,Neutral,Normal
PROPKARMA_TXT_000014,Rude,Unfreundlich
PROPKARMA_TXT_000016,Unsavory,Abstoßend
PROPKARMA_TXT_000018,Scoundrel,Schurke
PROPKARMA_TXT_000020,Cold Hearted,Kaltherzig
PROPKARMA_TXT_000022,Brutal,Brutal
PROPKARMA_TXT_000024,Vicious,Bösartig
