Key,English,German
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,Purified Water
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White reagent,White reagent
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue reagent,Blue reagent
PRODUCTION_RECIPE_NAME_REDREAGENT,Red reagent,Red reagent
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green reagent,Green reagent
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow reagent,Yellow reagent
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold reagent,Gold reagent
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,VitalDrink 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,VitalDrink 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,First Refresher
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,Gray Pill
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,Second Refresher
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Pine Oil
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,VitalDrink 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,VitalDrink 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,VitalDrink 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,VitalDrink 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,VitalDrink 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,VitalDrink 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,Yellow Pill
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,Blue Pill
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,Red Pill
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,Third Refresher
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,Fourth Refresher
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,Fifth Refresher
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,Sixth Refresher
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,Seventh Refresher
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,Eighth Refresher
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,VitalDrink 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,Ninth Refresher
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,Tenth Refresher
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,Gold Pill
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,Shining Gold Pill
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,Concoction of Tough Skin
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,Concoction of Rising Power
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,Potion of the Tiger
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,Potion of the Rabbit
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,Potion of the Fox
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,Potion of the Lion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,Concoction of Accuracy
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,Concoction of Evasion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,Concoction of Swiftness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,Concoction of Clarity
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,Concoction of Recklessness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,Concoction of Bleeding
