Key,English,German
PROPQUEST_SCENARIO_INC_000299,Prologue,Prolog
PROPQUEST_SCENARIO_INC_000304,Questioning,Hinterfragung
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm ... Was soll ich tun? Hey, kannst du mir helfen?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.","Vielen Dank, dass du zu mir gekommen bist. Ich bin über ein paar Dinge in Sorge. Deshalb sehe ich so deprimiert aus."
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?","Ich studiere die Geschichte Madrigals, aber es ist wirklich schwer. Würdest du mir bitte einen Gefallen tun? Bitte."
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,"Wow, Vielen Dank! Bitte geh zur Stadtverwaltung und überbring dem Bürgermeister das benötigte Research Cost Request Formular. Du findest es in der Nähe der Stadtverwaltung."
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,Was? Du bist wirklich gemein und unfreundlich!!
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.","Oh, es sieht so aus als sei Martinyc zu beschäftigt, um es selber zu überbringen. Danke, dass du mir das Dokument gebracht hast. Ihre Studiengebühren werde ich natürlich erstatten. "
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,"Kann ich dir helfen? Oh, du möchtest eine Rückvergütung der Studiengebühren für Martinyc beantragen? Die Formulare sind auf der rechten Seite vom Rathaus."
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Bitte geh zur Stadtverwaltung und überbring dem Bürgermeister das Research Cost Request Formular. Vielen Dank.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Der zerbrochene Kontinent
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.",Vielen vielen Dank für deine Hilfe! Dank dir habe ich die Studiengebühren erstattet bekommen. In Wirklichkeit gibt es aber ein Problem. Alle Daten zur Geschichte Madrigals wurden durcheinander gebracht.
