Key,English,German
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Station
ETC_INC_000020,Weapon,Waffen
ETC_INC_000021,Armor,Rüstung
ETC_INC_000022,Food,Nahrung
ETC_INC_000023,Magic,Magie
ETC_INC_000024,General,Allgemein
ETC_INC_000025,Public Office,Stadtinformation
ETC_INC_000026,Quest Office,Quest Verwaltung
ETC_INC_000027,Shield,Rüstung
ETC_INC_000028,Warpzone,Warpzone
ETC_INC_100001,Rainbow Race,Regenbogenrennen
ETC_INC_100000,Instance,Instanz
