Key,English,Italian
TEXTEMOTION_TXT_000000,Laugh,Ridere
TEXTEMOTION_TXT_000001,Sad,Piangere
TEXTEMOTION_TXT_000002,Kiss,Bacio
TEXTEMOTION_TXT_000003,Surprise,Sorpresa
TEXTEMOTION_TXT_000004,Blush,Arrossire
TEXTEMOTION_TXT_000005,Anger,Rabbia
TEXTEMOTION_TXT_000006,Sigh,Sospiro
TEXTEMOTION_TXT_000007,Wink,Occhiolino
TEXTEMOTION_TXT_000008,Ache,Malato
TEXTEMOTION_TXT_000009,Hunger,Fame
TEXTEMOTION_TXT_000010,Yummy,Gnam
TEXTEMOTION_TXT_000011,Sneer,Vantarsi
TEXTEMOTION_TXT_000012,Sparkle,Wow
TEXTEMOTION_TXT_000013,Ridicule,Ridicolo
TEXTEMOTION_TXT_000014,Sleepy,Dormire
TEXTEMOTION_TXT_000015,Rich,Ricco
TEXTEMOTION_TXT_000016,Glare,Arrabbiato
TEXTEMOTION_TXT_000017,Sweat,Sudore
TEXTEMOTION_TXT_000018,Cat face,Muso di gatto
TEXTEMOTION_TXT_000019,Tongue,Lingua
TEXTEMOTION_TXT_000020,Mad,Grrr
TEXTEMOTION_TXT_000021,Aha,Aha
TEXTEMOTION_TXT_000022,Embarrassed,Imbarazzato
TEXTEMOTION_TXT_000023,Help,Aiuta
TEXTEMOTION_TXT_000024,Crazy,Pazzo
TEXTEMOTION_TXT_000025,Oh!,Oh
TEXTEMOTION_TXT_000026,Confused,Confuso
TEXTEMOTION_TXT_000027,Ouch,Ahi
TEXTEMOTION_TXT_000028,Love,Amore
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Cuore spezzato
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
