Key,English,Italian
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Stazione
ETC_INC_000020,Weapon,Armi
ETC_INC_000021,Armor,Armature
ETC_INC_000022,Food,Cibo
ETC_INC_000023,Magic,Magia
ETC_INC_000024,General,Generale
ETC_INC_000025,Public Office,Ufficio Pubblico
ETC_INC_000026,Quest Office,Ufficio Missioni
ETC_INC_000027,Shield,Scudi
ETC_INC_000028,Warpzone,Teletrasporto
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
