Key,English,Polish
PROPKARMA_TXT_000000,Glorious,Chwalebny
PROPKARMA_TXT_000002,Illustrious,Znamienity
PROPKARMA_TXT_000004,Famed,Słynny
PROPKARMA_TXT_000006,Admired,Podziwiany
PROPKARMA_TXT_000008,Proper,Przyzwoity
PROPKARMA_TXT_000010,Kind,Uprzejmy
PROPKARMA_TXT_000012,Neutral,Neutralny
PROPKARMA_TXT_000014,Rude,Niegrzeczny
PROPKARMA_TXT_000016,Unsavory,Wredny
PROPKARMA_TXT_000018,Scoundrel,Nikczemnik
PROPKARMA_TXT_000020,Cold Hearted,Bez Serca
PROPKARMA_TXT_000022,Brutal,Brutalny
PROPKARMA_TXT_000024,Vicious,Okrutny
