Key,English,Polish
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Fabryka Erons II
PATROL_DESTINATION_000003,Iblis Temple,Świątynia Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Złodzieje z Gór Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Główny Obóz Bandytów
PATROL_DESTINATION_000006,Mars Dungeon,Loch Mars
PATROL_DESTINATION_000007,Altar of Violet,Altar of Violet
PATROL_DESTINATION_000008,Depths of the Dorian,Depths of the Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Lair of the Okean
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange entrance,Strange entrance
PATROL_DESTINATION_000012,The lost treasure of Herneos,The lost treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
