Key,English,Portuguese
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,Especialista em Coleta
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,Recompensa por classificação na Maestria de Coleta de Ervas.
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,Especialista em Corte de Madeira
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,Recompensa por classificação na Maestria de Corte de Madeira
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,Especialista em Mineração
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,Recompensa por classificação na Maestria de Mineração.
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,Especialista em Pesca
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,Recompensa por classificação na Maestria de Pesca.
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,Especialista em Culinária
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,Recompensa por classificação na Maestria de Culinária.
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,Especialista em Alquimia
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,Recompensa por classificação na Maestria de Alquimia.
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,Especialista em Carpintaria
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,Recompensa por classificação na Maestria de Carpintaria.
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,Especialista em Ferraria
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,Recompensa por classificação na Maestria de Ferraria.
