Key,English,Portuguese
PROPKARMA_TXT_000000,Glorious,Glorioso(a)
PROPKARMA_TXT_000002,Illustrious,Ilustre
PROPKARMA_TXT_000004,Famed,Célebre
PROPKARMA_TXT_000006,Admired,Admirado(a)
PROPKARMA_TXT_000008,Proper,Adequado(a)
PROPKARMA_TXT_000010,Kind,Gentil
PROPKARMA_TXT_000012,Neutral,Neutro
PROPKARMA_TXT_000014,Rude,Rude
PROPKARMA_TXT_000016,Unsavory,Desagradável
PROPKARMA_TXT_000018,Scoundrel,Canalha
PROPKARMA_TXT_000020,Cold Hearted,Sem Coração
PROPKARMA_TXT_000022,Brutal,Brutal
PROPKARMA_TXT_000024,Vicious,Cruel
