Key,English,Portuguese
PROPTROUPESKILL_TXT_000000,Call,Chamar
PROPTROUPESKILL_TXT_000001,Informs all party members of the location of the party leader.,Informa a todos os membros do grupo sobre a localização do líder.
PROPTROUPESKILL_TXT_000002,Blitz,Atacar
PROPTROUPESKILL_TXT_000003,Party leader orders party members to a attack a target.,O líder do grupo ordena que os membros ataquem o alvo.
PROPTROUPESKILL_TXT_000004,Retreat,Retirada
PROPTROUPESKILL_TXT_000005,Party leader orders all party members to retreat.,O líder do grupo ordena que todos os membros se retirem.
PROPTROUPESKILL_TXT_000008,Precision,Acerto
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance on the next attack of all party members around the leader by 0.5% x Amount of party members.,"Aumenta a Chance de Critíco no próximo ataque de todos os membros do grupo próximos ao líder em 0,5% x Número de membros no grupo."
PROPTROUPESKILL_TXT_000010,Linked Attack,Elo Ofensivo
PROPTROUPESKILL_TXT_000011,Each party member around the leader adds a 5% bonus to party leader damage.,Cada membro do grupo ao redor do líder adiciona um bônus de 5% ao dano do líder do grupo.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Sorte
PROPTROUPESKILL_TXT_000013,Increases the chance of Masquerpets dropping unique items.,Aumenta a chance dos Masquerpets deixarem cair itens únicos.
PROPTROUPESKILL_TXT_000014,Resting,Descanso
PROPTROUPESKILL_TXT_000015,Party members recover 1.5 times faster. If the party leader is an Assist party members recover 1.8 times faster.,"Os membros se recuperam 1,5 vezes mais rápido. Se o líder do grupo é um Assist, os membros do grupo se recuperam 1,8 vezes mais rápido."
PROPTROUPESKILL_TXT_000016,Gift Box,Caixa Bônus
PROPTROUPESKILL_TXT_000017,Increases the amount of items dropped by Masquerpets.,Aumenta a quantidade de itens que caem dos Masquerpets.
PROPTROUPESKILL_TXT_000018,Global Attack,Ataque Global
PROPTROUPESKILL_TXT_000019,Each party member receives a 2.5% damage bonus for every party member around them. Does not apply to the leader if Linked Attack is active.,"Cada membro do grupo recebe 2,5% de bônus de dano para cara membro próximo. Não irá funcionar para o Líder do grupo caso Elo Ofensivo estiver ativo."
