Key,English,Portuguese
PROPQUEST_SCENARIO_INC_000299,Prologue,Prólogo
PROPQUEST_SCENARIO_INC_000304,Questioning,Questionamento 
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm... O que devo fazer? Ei, pode me ajudar?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.","Estou preocupada há tanto tempo, sei que pareço estar mal. É bom ter alguém com quem conversar."
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?","Estou estudando História recente, mas é muito difícil. Mas será que você me ajudaria, por favor? Por favor?"
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,Verdade? Nossa! Muito obrigada! Vá ao escritório e entregue minha inscrição para uma bolsa de estudos. Obrigada.
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,"O que? Aaaaah, eu sabia que era bom demais para ser verdade."
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.","Oh, parece que Martinyc está muito ocupada para entregar suas inscrições."
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,Em que posso ajudá-lo? Você gostaria de preencher uma inscrição? O formulário está à direita no escritório.
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Vá ao escritório e entregue uma inscrição para bolsa ao Prefeito.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Continente Partido
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.","Muito obrigada por sua ajuda! Recebi muito dinheiro para estudar História graças a você. Olha, parece que todos os dados sobre Madrigal são distorcidos, mas parece que ninguém sabe."
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,Tenho estudado a história de Madrigal separado da Sociedade Histórica e parece que eles não querem corrigir a história distorcida nesses livros.
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,"Outro dia, quase fui morta por Blades Renegados, mas não posso parar agora. Não importa o que a Sociedade Histórica quer."
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,"Você me ajudaria, independentemente do perigo?"
