Key,English,Russian
ETC_INC_000000,Vagrant,Бродяга
ETC_INC_000001,Mercenary,Борец
ETC_INC_000002,Acrobat,Акробат
ETC_INC_000003,Assist,Униформист
ETC_INC_000004,Magician,Фокусник
ETC_INC_000005,Puppeteer,Кукловод
ETC_INC_000006,Knight,Гладиатор
ETC_INC_000007,Blade,Фехтовальщик
ETC_INC_000008,Jester,Шут
ETC_INC_000009,Ranger,Стрелок
ETC_INC_000010,Ringmaster,Иллюзионист
ETC_INC_000011,Billposter,Атлет
ETC_INC_000012,Psykeeper,Манипулятор
ETC_INC_000013,Elementor,Факир
ETC_INC_000014,Gatekeeper,Билетер
ETC_INC_000015,Doppler,Шулер
ETC_INC_SPECIALIST_000016,Templar,Templar
ETC_INC_SPECIALIST_000017,Slayer,Slayer
ETC_INC_SPECIALIST_000018,Harlequin,Harlequin
ETC_INC_SPECIALIST_000019,Crackshooter,Crackshooter
ETC_INC_SPECIALIST_000020,Seraph,Seraph
ETC_INC_SPECIALIST_000021,Forcemaster,Forcemaster
ETC_INC_SPECIALIST_000022,Mentalist,Mentalist
ETC_INC_SPECIALIST_000023,Arcanist,Arcanist
ETC_INC_SPECIALIST_000024,Summoner,Summoner
ETC_INC_SPECIALIST_000025,Trapmaster,Trapmaster
