Key,English,Russian
PROPMOVER_TXT_000002,Male,Муж
PROPMOVER_TXT_000004,Female,Жен
PROPMOVER_TXT_000006,Small Aibatt,Слабый сглаз
PROPMOVER_TXT_000008,Aibatt,Сглаз
PROPMOVER_TXT_000010,Captain Aibatt,Сильный сглаз
PROPMOVER_TXT_000012,Giant Aibatt,Громадный сглаз
PROPMOVER_TXT_000014,Small Mushpang,Слабая сыробежка
PROPMOVER_TXT_000016,Mushpang,Сыробежка
PROPMOVER_TXT_000018,Captain Mushpang,Сильная сыробежка
PROPMOVER_TXT_000020,Giant Mushpang,Громадная сыробежка
PROPMOVER_TXT_000022,Small Burudeng,Слабый жукорог
PROPMOVER_TXT_000024,Burudeng,Жукорог
PROPMOVER_TXT_000026,Captain Burudeng,Сильный жукорог
PROPMOVER_TXT_000028,Giant Burudeng,Громадный жукорог
PROPMOVER_TXT_000030,Small Pukepuke,Слабый Вуки-туки
PROPMOVER_TXT_000032,Pukepuke,Вуки-туки
PROPMOVER_TXT_000034,Captain Pukepuke,Сильный Вуки-туки
PROPMOVER_TXT_000036,Giant Pukepuke,Громадный Вуки-туки
PROPMOVER_TXT_000038,Small Peakyturtle,Слабый бронтодон
PROPMOVER_TXT_000040,Peakyturtle,Бронтодон
PROPMOVER_TXT_000042,Captain Peakyturtle,Сильный бронтодон
PROPMOVER_TXT_000044,Giant Peakyturtle,Громадный бронтодон
PROPMOVER_TXT_000046,Urchin Demian,Юный злыдень
PROPMOVER_TXT_000048,Demian,Злыдень
PROPMOVER_TXT_000050,Bad Demian,Гадкий злыдень
PROPMOVER_TXT_000052,Giant Demian,Громадный злыдень
PROPMOVER_TXT_000054,Small Doridoma,Слабый конек
PROPMOVER_TXT_000056,Doridoma,Конек
PROPMOVER_TXT_000058,Captain Doridoma,Сильный конек
PROPMOVER_TXT_000060,Giant Doridoma,Громадный конек
PROPMOVER_TXT_000062,Young Lawolf,Слабый волкопард
PROPMOVER_TXT_000064,Lawolf,Волкопард
PROPMOVER_TXT_000066,Grownup Lawolf,Сильный волкопард
PROPMOVER_TXT_000068,Giant Lawolf,Громадный волкопард
PROPMOVER_TXT_000070,1st Class Fefern,Слабый крыжорник
PROPMOVER_TXT_000072,Fefern,Крыжорник
PROPMOVER_TXT_000074,2nd Class Fefern,Сильный крыжорник
PROPMOVER_TXT_000076,Giant Fefern,Громадный крыжорник
PROPMOVER_TXT_000078,Cute Nyangnyang,Юная Кисандра
PROPMOVER_TXT_000080,Nyangnyang,Кисандра
PROPMOVER_TXT_000082,Creep Nyangnyang,Ужасная Кисандра
PROPMOVER_TXT_000084,Giant Nyangnyang,Гигантская Кисандра
PROPMOVER_TXT_000086,Bang,Гром
PROPMOVER_TXT_000088,Captain Bang,Сильный Гром
PROPMOVER_TXT_000090,Boss Bang,Капитан Гром
PROPMOVER_TXT_000092,Giant Bang,Гигантский Гром
PROPMOVER_TXT_000094,Small Wagsaac,Слабый злопух
PROPMOVER_TXT_000096,Wagsaac,Злопух
PROPMOVER_TXT_000098,Captain Wagsaac,Сильный злопух
PROPMOVER_TXT_000100,Giant Wagsaac,Громадный злопух
PROPMOVER_TXT_000102,Small Mia,Юная Миа
PROPMOVER_TXT_000104,Mia,Миа
PROPMOVER_TXT_000106,Captain Mia,Ужасная Миа
PROPMOVER_TXT_000108,Giant Mia,Гигантская Миа
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Гнилой мистер Тыквер
PROPMOVER_TXT_000112,Mr. Pumpkin,Мистер Тыквер
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Зрелый мистер Тыквер
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Гигантский мистер Тыквер
PROPMOVER_TXT_000118,Red Mantis C,Слабый красный богомол
PROPMOVER_TXT_000120,Red Mantis B,Красный богомол
PROPMOVER_TXT_000122,Red Mantis A,Сильный красный богомол
PROPMOVER_TXT_000124,Giant Red Mantis,Громадный красный богомол
PROPMOVER_TXT_000126,Small Jack the Hammer,Слабый Кувалда Джек
PROPMOVER_TXT_000128,Jack the Hammer,Кувалда Джек
PROPMOVER_TXT_000130,Captain Jack the Hammer,Ужасный Кувалда Джек
PROPMOVER_TXT_000132,Giant Jack the Hammer,Гигантский Кувалда Джек
PROPMOVER_TXT_000134,Small Giggle Box,Слабый хохотун
PROPMOVER_TXT_000136,Giggle Box,Хохотун
PROPMOVER_TXT_000138,Captain Giggle Box,Сильный хохотун
PROPMOVER_TXT_000140,Giant Giggle Box,Громадный хохотун
PROPMOVER_TXT_000142,Small Rock Muscle,Слабый камнетавр
PROPMOVER_TXT_000144,Rock Muscle,Камнетавр
PROPMOVER_TXT_000146,Captain Rock Muscle,Сильный камнетавр
PROPMOVER_TXT_000148,Giant Rock Muscle,Громадный камнетавр
PROPMOVER_TXT_000150,Small Hobo,Слабый однорукий бандит
PROPMOVER_TXT_000152,Hobo,Однорукий бандит
PROPMOVER_TXT_000154,Captain Hobo,Сильный однорукий бандит
PROPMOVER_TXT_000156,Giant Hobo,Гигантский однорукий бандит
PROPMOVER_TXT_000158,Small Dumb Bull,Слабая быказа-рогаза
PROPMOVER_TXT_000160,Dumb Bull,Быказа-рогаза
