Key,English,Simplified_Chinese
ITEMTYPE_1H_SWORD,1H Sword,单手剑
ITEMTYPE_2H_SWORD,2H Sword,双手剑
ITEMTYPE_1H_AXE,1H Axe,单手斧
ITEMTYPE_2H_AXE,2H Axe,双手斧
ITEMTYPE_KNUCKLE,Knuckle,拳套
ITEMTYPE_STICK,Stick,魔棒
ITEMTYPE_BOW,Bow,弓
ITEMTYPE_YOYO,Yo-Yo,飞轮
ITEMTYPE_WAND,Wand,魔杖
ITEMTYPE_STAFF,Staff,法杖
ITEMTYPE_COSTUME,Costume,套装
ITEMTYPE_SHOES,Shoes,鞋子
ITEMTYPE_PICKUP,Pick-Up Pet,捡宠
ITEMTYPE_REAR_PET,Raised Pet,召唤兽
ITEMTYPE_CONSUMABLE,Consumable,消耗品
ITEMTYPE_BOARD,Board,滑板
ITEMTYPE_CAR,Car,车
ITEMTYPE_WINGS,Wings,翅膀
ITEMTYPE_BIKE,Bike,单车
ITEMTYPE_BERRY,Berry,莓
ITEMTYPE_DICE,Dice,骰子
ITEMTYPE_BOX,Box,箱子
ITEMTYPE_VANITY,Vanity,特效
ITEMTYPE_CHIP,Chip,纸片
