Key,English,Spanish
TEXTEMOTION_TXT_000000,Laugh,Risa
TEXTEMOTION_TXT_000001,Sad,Triste
TEXTEMOTION_TXT_000002,Kiss,Beso
TEXTEMOTION_TXT_000003,Surprise,Sorpresa
TEXTEMOTION_TXT_000004,Blush,Sonrojarse
TEXTEMOTION_TXT_000005,Anger,Furia
TEXTEMOTION_TXT_000006,Sigh,Suspiro
TEXTEMOTION_TXT_000007,Wink,Guiño
TEXTEMOTION_TXT_000008,Ache,Dolor
TEXTEMOTION_TXT_000009,Hunger,Hambre
TEXTEMOTION_TXT_000010,Yummy,Delicioso
TEXTEMOTION_TXT_000011,Sneer,Burla
TEXTEMOTION_TXT_000012,Sparkle,Chispa
TEXTEMOTION_TXT_000013,Ridicule,Ridículo
TEXTEMOTION_TXT_000014,Sleepy,Somnoliento
TEXTEMOTION_TXT_000015,Rich,Rico
TEXTEMOTION_TXT_000016,Glare,Alegría
TEXTEMOTION_TXT_000017,Sweat,Sudor
TEXTEMOTION_TXT_000018,Cat face,Gatito
TEXTEMOTION_TXT_000019,Tongue,Lengua
TEXTEMOTION_TXT_000020,Mad,Enojado
TEXTEMOTION_TXT_000021,Aha,Aha
TEXTEMOTION_TXT_000022,Embarrassed,Avergonzado
TEXTEMOTION_TXT_000023,Help,Ayuda
TEXTEMOTION_TXT_000024,Crazy,Loco
TEXTEMOTION_TXT_000025,Oh!,Oh!
TEXTEMOTION_TXT_000026,Confused,Confundido
TEXTEMOTION_TXT_000027,Ouch,Ouch
TEXTEMOTION_TXT_000028,Love,Amor
TEXTEMOTION_TXT_100000,Risitas,Risitas
TEXTEMOTION_TXT_100001,Broken Heart,Corazón Roto
TEXTEMOTION_TXT_100002,Sadge,Sadge
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,Sheesh
TEXTEMOTION_TXT_100006,Acktually,Acktually
