Key,English,Spanish
PROPKARMA_TXT_000000,Glorious,Glorioso
PROPKARMA_TXT_000002,Illustrious,Ilustre
PROPKARMA_TXT_000004,Famed,Famoso
PROPKARMA_TXT_000006,Admired,Admirado
PROPKARMA_TXT_000008,Proper,Correcto
PROPKARMA_TXT_000010,Kind,Amable
PROPKARMA_TXT_000012,Neutral,Neutral
PROPKARMA_TXT_000014,Rude,Rudo
PROPKARMA_TXT_000016,Unsavory,Desagradable
PROPKARMA_TXT_000018,Scoundrel,Canalla
PROPKARMA_TXT_000020,Cold Hearted,Corazón Frío
PROPKARMA_TXT_000022,Brutal,Brutal
PROPKARMA_TXT_000024,Vicious,Cruel
