Key,English,Spanish
PROPQUEST_SCENARIO_INC_000299,Prologue,Prólogo
PROPQUEST_SCENARIO_INC_000304,Questioning,El Interrogatorio
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm... ¿Qué debo hacer? Oye, ¿Puedes ayudarme?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.",He estado preocupada durante tanto tiempo que debo parecer una lunática. Es bueno tener un oído amigo al que recurrir.
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?","Estoy estudiando historia reciente, pero es muy difícil. Por eso es que, ¿podrías ayudarme? ¿Por favor?"
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,¿En serio? ¡Guau! ¡Muchas gracias! Por favor ves a la oficina y entregale mi solicitud para conseguir una beca. Gracias.
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,"¿Qué? Oh, sabía que era demasiado bueno para ser verdad."
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.","Oh, parece que Martinyc está demasiado ocupada para entregar sus propias solicitudes."
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,¿Puedo ayudarte? ¿Quieres rellenar una solicitud? El formulario está en el lado derecho de la oficina.
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Ve a la oficina y entrega la Solicitud de la Beca al Alcalde.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Continente Agrietado
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.","¡Muchas gracias por tu ayuda! He recibido mucho dinero para poderme dedicar a estudiar historia gracias a ti. Escucha, parece que todos los datos sobre Madrigal están distorsionados."
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,He estado estudiando la historia de Madrigal por separado de los que están en la Sociedad de Historia y parece que no quieren corregir la historia distorsionada de estos libros.
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,"El otro día casi me matan unos Blades renegados, pero no puedo parar ahora. No importa lo que quiera la Sociedad de Historia."
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,¿Me ayudarás sin importar el peligro?
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.","¡Sabía que lo harías! Para empezar, tráeme 5 rocas de cada uno de los 3 continentes habitados. Cada continente tiene un Altar, tráeme las rocas que hay en cada uno de estos."
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,Gracias por escucharme de todos modos. Entiendo que no estés dispuesto a arriesgar tu vida.
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,"Hmm... Esto es exactamente lo que esperaba. Las estudiaré más, pero antes de que te vayas, por favor..."
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.","...debes tener mucho, mucho cuidado. Estoy segura de que los asesinos que intentaron matarme irán a por ti."
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","Tráeme 5 piedras de cada continente: Flaris, Darkon y Saint Morning. ¡Buena suerte!"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,Hay altares antiguos en cada continente. Tráeme 5 rocas de cada continente por favor.
PROPQUEST_SCENARIO_INC_000327,Plot Begins,Comienza la Trama
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...","Esto es evidencia de que los continentes fueron una sola masa de tierra. Te estoy confiando esta información porque, bueno..."
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,...ahora estamos en el mismo barco. Estamos en peligro juntos. ¿Irás conmigo hasta el final?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,"Vale. Ahora, por favor, llévale esto a Gothante. Es el presidente de la Sociedad de Historia en Saint. No olvides estar atento a los asesinos."
PROPQUEST_SCENARIO_INC_000331,"I do not want to force you, but never forget that you are in danger.","No quiero obligarte, pero no olvides que estás en peligro."
PROPQUEST_SCENARIO_INC_000332,This... This is... Bubble protect us. Martinyc has finally crossed the line. It is about time.,Esto... Esto es... Bubble protégenos. Martinyc ha cruzado la línea al fin. Ya era hora.
PROPQUEST_SCENARIO_INC_000333,Thank you very much. Take this letter of recommendation and visit Hachal in Darkon 1.,Muchísimas gracias. Toma esta carta de recomendación y visita a Hachal en Darkon 1.
PROPQUEST_SCENARIO_INC_000334,I am sure he can help you. Take care!,Estoy seguro de que él puede ayudarte. ¡Cuídate!
PROPQUEST_SCENARIO_INC_000335,Do you want to know about the true history of Madrigal? Then I am the man to talk to.,¿Quieres conocer la verdadera historia de Madrigal? Entonces yo soy el hombre con el que tienes que hablar.
PROPQUEST_SCENARIO_INC_000336,"Deliver this to Gothante, he is the Chairman of the History Society in Saint City.","Entrégale esto a Gothante, él es el Presidente de la Sociedad de Historia en Saint."
PROPQUEST_SCENARIO_INC_000338,Chapter 1 The Field of Bubble,(Capítulo 1) La Llanura de Bubble
PROPQUEST_SCENARIO_INC_000339,Hmm? Did Gothante tell you to visit me? Why?,¿Mmm? ¿Gothante te dijo que me visitaras? ¿Por qué?
PROPQUEST_SCENARIO_INC_000340,"Oh, I see. Iblis watch over me, what is this information!? Who could have dug up this much of the past? Only one person?","Oh, ya veo. ¡Iblis, vela por mí! ¿¡Qué es esta información!? ¿Quién puede haber desenterrado tanta información del pasado? ¿Una sola persona?"
