Key,English,Spanish
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Estrella de Vida
ETC_INC_000018,Lodelight,Estrella de Luz
ETC_INC_000019,Station,Estación
ETC_INC_000020,Weapon,Armas
ETC_INC_000021,Armor,Armaduras
ETC_INC_000022,Food,Comida
ETC_INC_000023,Magic,Magia
ETC_INC_000024,General,General
ETC_INC_000025,Public Office,Oficina Pública
ETC_INC_000026,Quest Office,Oficina de Misiones
ETC_INC_000027,Shield,Escudos
ETC_INC_000028,Warpzone,Zona de Teletransporte
ETC_INC_100001,Rainbow Race,Carrera Arcoíris
ETC_INC_100000,Instance,Instancia
