Key,English,Thai
TEXTEMOTION_TXT_000000,Laugh,หัวเราะ
TEXTEMOTION_TXT_000001,Sad,เศร้า
TEXTEMOTION_TXT_000002,Kiss,จูบ
TEXTEMOTION_TXT_000003,Surprise,เซอร์ไพรส์
TEXTEMOTION_TXT_000004,Blush,เขิน
TEXTEMOTION_TXT_000005,Anger,โกรธ
TEXTEMOTION_TXT_000006,Sigh,ถอนหายใจ
TEXTEMOTION_TXT_000007,Wink,ขยิบตา
TEXTEMOTION_TXT_000008,Ache,เจ็บปวด
TEXTEMOTION_TXT_000009,Hunger,ความหิว
TEXTEMOTION_TXT_000010,Yummy,อร่อย
TEXTEMOTION_TXT_000011,Sneer,เยาะเย้ย
TEXTEMOTION_TXT_000012,Sparkle,เปล่งประกาย
TEXTEMOTION_TXT_000013,Ridicule,ประชดประชัน
TEXTEMOTION_TXT_000014,Sleepy,ง่วงนอน
TEXTEMOTION_TXT_000015,Rich,รวย
TEXTEMOTION_TXT_000016,Glare,จ้องมอง
TEXTEMOTION_TXT_000017,Sweat,ความกังวล
TEXTEMOTION_TXT_000018,Cat face,หน้าแมว
TEXTEMOTION_TXT_000019,Tongue,แลบลิ้น
TEXTEMOTION_TXT_000020,Mad,บ้า
TEXTEMOTION_TXT_000021,Aha,อาฮ่า
TEXTEMOTION_TXT_000022,Embarrassed,หน้าแตก
TEXTEMOTION_TXT_000023,Help,ช่วยด้วย
TEXTEMOTION_TXT_000024,Crazy,บ้าคลั่ง
TEXTEMOTION_TXT_000025,Oh!,โอ้!
TEXTEMOTION_TXT_000026,Confused,สับสน
TEXTEMOTION_TXT_000027,Ouch,โอ้ย
TEXTEMOTION_TXT_000028,Love,รัก
TEXTEMOTION_TXT_100000,Risitas,หัวเราะแบบRisitas
TEXTEMOTION_TXT_100001,Broken Heart,ใจสลาย
TEXTEMOTION_TXT_100002,Sadge,เศร้า
TEXTEMOTION_TXT_100003,Copium,Copium
TEXTEMOTION_TXT_100004,Susge,Susge
TEXTEMOTION_TXT_100005,Sheesh,ไม่พอใจ
TEXTEMOTION_TXT_100006,Acktually,Acktually
