Key,English,Thai
PROPQUEST_SCENARIO_INC_000299,Prologue,บทนำ
PROPQUEST_SCENARIO_INC_000304,Questioning,คำถาม
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?",อืม... ฉันจะทำยังไงดี? เฮ้ คุณช่วยฉันได้ไหม
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.",ฉันกังวลมานานแล้ว ฉันรู้ว่าฉันต้องดูเลอะเทอะ เป็นการดีที่จะมีหูที่เป็นมิตรที่จะหันไปหา
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?",ฉันกำลังศึกษาประวัติศาสตร์เมื่อเร็วๆ นี้ แต่มันยากจริงๆ งั้นคุณช่วยฉันหน่อยได้ไหม ได้โปรด?
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,จริงหรือ ว้าว! ขอบคุณมาก! กรุณาไปที่สำนักงานและส่งใบสมัครเพื่อรับทุนของฉัน ขอบคุณ
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,อะไรนะ ฉันรู้ว่ามันดีเกินจริง
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.",โอ้ ดูเหมือนว่า Martinyc จะยุ่งเกินกว่าจะส่งใบสมัครของเธอเอง
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,ฉันช่วยคุณได้ไหม ต้องการกรอกใบสมัครเหรอ? แบบฟอร์มอยู่ด้านขวาของสำนักงาน
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,ไปที่สำนักงานและยื่นใบสมัครทุนให้กับนายกเทศมนตรี
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,ทวีปที่แตกร้าว
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.",ขอบคุณมากสำหรับความช่วยเหลือของคุณ! ฉันได้รับเงินมากมายเพื่อศึกษาประวัติศาสตร์เพราะคุณช่วย ฟังนะ ดูเหมือนว่าข้อมูลทั้งหมดเกี่ยวกับ Madrigal จะผิดเพี้ยนไป
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,ฉันได้ศึกษาประวัติศาสตร์ Madrigal นอกเหนือจากสมาคมประวัติศาสตร์ และดูเหมือนว่าพวกเขาไม่ต้องการแก้ไขประวัติศาสตร์ที่บิดเบี้ยวในหนังสือเหล่านี้
