Key,English,Traditional_Chinese
TEXTEMOTION_TXT_000000,Laugh,哇哈哈
TEXTEMOTION_TXT_000001,Sad,哭泣
TEXTEMOTION_TXT_000002,Kiss,親一個
TEXTEMOTION_TXT_000003,Surprise,嚇一跳
TEXTEMOTION_TXT_000004,Blush,害羞
TEXTEMOTION_TXT_000005,Anger,爆怒
TEXTEMOTION_TXT_000006,Sigh,嘆氣
TEXTEMOTION_TXT_000007,Wink,眼睛放電
TEXTEMOTION_TXT_000008,Ache,好痛喔
TEXTEMOTION_TXT_000009,Hunger,拿飯來
TEXTEMOTION_TXT_000010,Yummy,好吃
TEXTEMOTION_TXT_000011,Sneer,冷笑
TEXTEMOTION_TXT_000012,Sparkle,眼睛一亮
TEXTEMOTION_TXT_000013,Ridicule,奸笑
TEXTEMOTION_TXT_000014,Sleepy,睡覺
TEXTEMOTION_TXT_000015,Rich,發財
TEXTEMOTION_TXT_000016,Glare,冷眼
TEXTEMOTION_TXT_000017,Sweat,流汗
TEXTEMOTION_TXT_000018,Cat face,貓臉
TEXTEMOTION_TXT_000019,Tongue,裝死
TEXTEMOTION_TXT_000020,Mad,生氣
TEXTEMOTION_TXT_000021,Aha,領悟
TEXTEMOTION_TXT_000022,Embarrassed,慌張
TEXTEMOTION_TXT_000023,Help,求救
TEXTEMOTION_TXT_000024,Crazy,怒吼
TEXTEMOTION_TXT_000025,Oh!,驚嘆
TEXTEMOTION_TXT_000026,Confused,迷惑
TEXTEMOTION_TXT_000027,Ouch,好痛
TEXTEMOTION_TXT_000028,Love,愛心
TEXTEMOTION_TXT_100000,Risitas,奸笑
TEXTEMOTION_TXT_100001,Broken Heart,心碎
TEXTEMOTION_TXT_100002,Sadge,薩奇
TEXTEMOTION_TXT_100003,Copium,我行的
TEXTEMOTION_TXT_100004,Susge,可疑
TEXTEMOTION_TXT_100005,Sheesh,太扯
TEXTEMOTION_TXT_100006,Acktually,實際上
