Key,English,Vietnamese
PROPQUEST_SCENARIO_INC_000299,Prologue,Lời mở đầu
PROPQUEST_SCENARIO_INC_000304,Questioning,Đặt câu hỏi
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm .. Tôi phải làm gì đây? Này, bạn có thể giúp tôi được không? "
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.","Tôi đã lo lắng quá lâu, tôi biết mình trông rất rối. Thật tốt khi có một đôi tai biết lắng nghe."
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?","Tôi đang học lịch sử gần đây, nhưng nó thực sự khó khăn. Vậy bạn vui lòng giúp tôi được không? Xin vui lòng?"
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,Có thật không? Ồ! Cảm ơn rất nhiều! Vui lòng đến văn phòng và gửi đơn xin học bổng của tôi. Cảm ơn bạn.
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,"Gì? Awww, tôi biết điều đó là quá tốt để trở thành sự thật."
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.","Ồ, có vẻ như Martinyc quá bận để gửi đơn đăng ký của riêng cô ấy."
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,Tôi có thể giúp gì cho bạn? Bạn muốn điền vào một ứng dụng? Biểu mẫu nằm ở phía bên phải của văn phòng.
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Đến văn phòng và gửi đơn xin học bổng cho Thị trưởng.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Lục địa nứt
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.","Cảm ơn bạn rất nhiều vì đã giúp đỡ của bạn! Tôi đã nhận được rất nhiều tiền để học lịch sử nhờ bạn. Nghe này, có vẻ như tất cả dữ liệu về Madrigal đều bị bóp méo."
